id,name,type
1,撒汤,48
2,萧县面皮,11
3,牛肉汤,48
4,烧饼夹里脊,15
5,小龙虾,16
6,江万春水饺,10
7,虾籽面,11
8,毛豆腐,25
9,撒汤,48
10,青岛啤酒花园,14
11,蓝枪鱼音乐餐厅,14
12,齐齐火锅,12
13,九品风山珍宝,10
14,安徽室内影视基地,14
15,麻辣烫夹馍,15
16,羊肉泡馍,10
17,1912啤酒花园,14
18,ASC意式餐吧,10
19,德州扑克,10
20,魔芋豆腐,10
21,蒸面,29
22,浦发银行,10
23,全季酒店,10
24,古戏楼,14
25,三回头砂锅米线,11
26,炒腊肉,10
27,酸菜面,47
28,鱼丝牛肉,10
29,八宝海味,10
30,老房子,10
31,欧洲房子Sophie‘s西餐厅,14
32,Let's pu 璞泰式海鲜火锅,12
33,顺吞面庄,11
34,醋锅牛肉,10
35,洋芋糍粑,10
36,红杏酒家,10
37,龙抄手,16
38,逛锅面,11
39,牛肉,29
40,张凉粉,11
41,一把骨宽,10
42,手扒肉,10
43,老妈蹄花,45
44,兴熙北,10
45,豆腐,26
46,盐水凉粉,11
47,喜茶,18
48,肥肠粉,16
49,川西坝子,10
50,叒缘,10
51,糍粑,25
52,铁板烧,10
53,韩包子,10
54,龙须面,29
55,龙安柚鸡煲,10
56,四方阁,10
57,百年神厨,10
58,茯苓酱肉包.茯苓酱肉面,11
59,                                                                               ,10
60,熏二姐 ,10
61,金裹银,10
62,豆花鸡,19
63,老腊肉,10
64,回锅肉,45
65,华兴街煎蛋面,11
66,赤香,10
67,鸭脚板,31
68,陶三娘真霸牛肉面,11
69,兴隆悦烤鸭,10
70,古御贡茶.喜三德甜品,18
71,凉面,29
72,九牛一毛特色牛肉面,11
73,冒牌火锅菜,12
74,夫妻肺片,19
75,烤匠,10
76,袁记串串香,16
77,金玉轩,10
78,砂锅推鱼,10
79,坨坨牛肉,10
80,柴门鱼鲜馆,10
81,冷锅串串,16
82,羊肉米线,11
83,东坡肘子,25
84,肥肠,19
85,金聚德,10
86,绵阳米粉,11
87,干锅,29
88,白砍猪蹄,10
89,宜宾燃面,36
90,白家肥肠粉,11
91,誉高名小食,10
92,麻哥面,11
93,红高粱海鲜酒楼,14
94,麻辣烫,46
95,豆汤饭,13
96,蚕丝兔头,10
97,小谭豆花,10
98,张记鸡汤铺盖面,11
99,蜀大侠火锅,12
100,寇家大院,14
101,串串,17
102,酸菜面块,47
103,陈麻婆豆腐,10
104,成都蜀九香火锅,12
105,水煮鱼,29
106,川北凉粉,16
107,文杏酒楼,14
108,软粿,10
109,软粿,10
110,仙游蓼花,10
111,妈祖面,11
112,风亭糕,16
113,煎包,29
114,金棵,10
115,枫亭糕,16
116,兴化米粉,41
117,皮蛋瘦肉粥,38
118,红团,10
119,泗粉,11
120,麦煎,35
121,爽滑肉丸,10
122,中山传统金喳,10
123,海蛎饼,15
124,招牌双黄芦兜粽,10
125,芝麻蒸肠粉,11
126,豆浆炒,10
127,新鲜牛肉竹升面,11
128,沙溪牛腩面,11
129,鸡蛋拉布粉,11
130,芋头双拼糕,16
131,牛杂粥,10
132,金粿,10
133,西天尾扁食,10
134,干焖羊肉,10
135,仙游扁食,10
136,三合士,10
137,包心豆腐丸,29
138,泰椒凤爪水蟹粥,10
139,豆花饭,13
140,油茶,16
141,麻圆,44
142,俄亥俄双味热狗,10
143,油条,10
144,三角粑,10
145,泉水鸡,46
146,鸡杂,29
147,毛血旺,19
148,豆浆,18
149,辣子鸡,29
150,抄手,41
151,芝加哥辛辣热狗,10
152,水煮肉片,19
153,毛豆腐,25
154,糍粑块,10
155,芥菜年糕,16
156,原味海鲜拼,10
157,海仙配杨梅酒,10
158,三中砂锅,10
159,海苔月饼,15
160,金枪鱼鱼酥,10
161,凉面黄炒米面,11
162,战斧牛排,10
163,生煎梭子蟹,10
164,炝锅铜锅鱼,10
165,糖醋藕夹,19
166,海鲜米面,11
167,虾汤泡饭,13
168,宫廷计蒸树鱼,10
169,金牌酱风鲳鱼,10
170,香煎带鱼,29
171,张阿三馄炖,10
172,小炒鱼仔面,11
173,煮三丁,10
174,酱汁芋头,10
175,黑椒菇排,10
176,普陀山观音饼,15
177,椒盐小白龙,10
178,布袋禅机,10
179,泡菜丝虾饼,15
180,海鲜炒米面,11
181,荷塘藕韵,10
182,观音莲花茶,18
183,盆菜,35
184,芥菜年糕,16
185,雪儿钱局泡菜,10
186,洛东羊肉面,11
